date,temp_max,temp_min
2018-9-15,32,25
2018-9-16,32,26
2018-9-17,26,25
2018-9-18,31,26
2018-9-19,33,7
2018-9-20,32,24
2018-9-21,26,23
2018-9-22,26,22
2018-9-23,28,23
2018-9-24,28,21
2018-9-25,25,21
2018-9-26,26,22
2018-9-27,27,20
2018-9-28,28,20
2018-9-29,26,21
2018-9-30,29,19
2018-10-1,25,18
2018-10-2,26,18
2018-10-3,26,20
2018-10-4,25,20
2018-10-5,21,19
2018-10-6,25,18
2018-10-7,26,19
2018-10-8,25,19
2018-10-9,24,18
2018-10-10,20,15
2018-10-11,20,15
2018-10-12,20,16
2018-10-13,23,17
2018-10-14,20,17
2018-10-15,23,18
2018-10-16,29,15
2018-10-17,22,16
2018-10-18,20,13
2018-10-19,20,16
2018-10-20,20,16
2018-10-21,21,17
2018-10-22,18,16
2018-10-23,22,17
2018-10-24,22,17
2018-10-25,23,16
2018-10-26,23,13
2018-10-27,19,12
2018-10-28,23,14
2018-10-29,24,15
2018-10-30,22,15
2018-10-31,19,13
2018-11-1,18,14
2018-11-2,19,16
2018-11-3,20,16
2018-11-4,23,18
2018-11-5,21,17
2018-11-6,21,17
2018-11-7,18,13
2018-11-8,13,9
2018-11-9,16,11
2018-11-10,19,15
2018-11-11,20,14
2018-11-12,16,13
2018-11-13,17,12
2018-11-14,17,14
2018-11-15,17,14
2018-11-16,14,13
2018-11-17,16,12
2018-11-18,12,10
2018-11-19,14,10
2018-11-20,17,13
2018-11-21,14,10
2018-11-22,14,9
2018-11-23,16,11
2018-11-24,18,11
2018-11-25,18,14
2018-11-26,19,13
2018-11-27,18,12
2018-11-28,16,11
2018-11-29,18,12
2018-11-30,18,13
2018-12-1,20,15
2018-12-2,20,16
2018-12-3,20,15
2018-12-4,15,11
2018-12-5,13,10
2018-12-6,10,6
2018-12-7,6,3
2018-12-8,3,2
2018-12-9,5,6
2018-12-10,10,8
2018-12-11,8,3
2018-12-12,7,3
2018-12-13,6,3
2018-12-14,10,6
2018-12-15,10,7
2018-12-16,9,3
2018-12-17,12,3
2018-12-18,14,6
2018-12-19,14,11
2018-12-20,13,10
2018-12-21,15,12
2018-12-22,13,7
2018-12-23,12,6
2018-12-24,11,8
2018-12-25,13,10
2018-12-26,10,6
2018-12-27,7,1
2018-12-28,2,0
2018-12-29,3,0
2018-12-30,3,1
2018-12-31,5,3
