date,temp_max,temp_min,quantity,work
2018-9-15,32,25,221.2,0
2018-9-16,32,26,1608.8,0
2018-9-17,26,25,3410,1
2018-9-18,31,26,4008,1
2018-9-19,33,7,4348.4,1
2018-9-20,32,24,3741.3,1
2018-9-21,26,23,2868.5,1
2018-9-22,26,22,1155.1,0
2018-9-23,28,23,1114.9,0
2018-9-24,28,21,1106.5,0
2018-9-25,25,21,2585.1,1
2018-9-26,26,22,2476.3,1
2018-9-27,27,20,2768.8,1
2018-9-28,28,20,3455.3,1
2018-9-29,26,21,3348.6,1
2018-9-30,29,19,2384.3,1
2018-10-1,25,18,1033.7,0
2018-10-2,26,18,913.3,0
2018-10-3,26,20,864.4,0
2018-10-4,25,20,861.8,0
2018-10-5,21,19,878,0
2018-10-6,25,18,827.2,0
2018-10-7,26,19,839,0
2018-10-8,25,19,2376,1
2018-10-9,24,18,2164.7,1
2018-10-10,20,15,1880.3,1
2018-10-11,20,15,1792.2,1
2018-10-12,20,16,1717.7,1
2018-10-13,23,17,885.6,0
2018-10-14,20,17,849,0
2018-10-15,23,18,1881.9,1
2018-10-16,29,15,1942.9,1
2018-10-17,22,16,1875.1,1
2018-10-18,20,13,1854.4,1
2018-10-19,20,16,1776.4,1
2018-10-20,20,16,900.3,0
2018-10-21,21,17,907.6,0
2018-10-22,18,16,1770.4,1
2018-10-23,22,17,1820.4,1
2018-10-24,22,17,1848.3,1
2018-10-25,23,16,1784.3,1
2018-10-26,23,13,1817.6,1
2018-10-27,19,12,963.2,0
2018-10-28,23,14,957.3,0
2018-10-29,24,15,1784,1
2018-10-30,22,15,1849.6,1
2018-10-31,19,13,1780.9,1
2018-11-1,18,14,1726.8,1
2018-11-2,19,16,1703.7,1
2018-11-3,20,16,885.6,0
2018-11-4,23,18,876.6,0
2018-11-5,21,17,1711.9,1
2018-11-6,21,17,1698,1
2018-11-7,18,13,1747,1
2018-11-8,13,9,1662.9,1
2018-11-9,16,11,1635.3,1
2018-11-10,19,15,959.5,0
2018-11-11,20,14,970.9,0
2018-11-12,16,13,1717,1
2018-11-13,17,12,1627,1
2018-11-14,17,14,1648.8,1
2018-11-15,17,14,1662.2,1
2018-11-16,14,13,1609.1,1
2018-11-17,16,12,829.4,0
2018-11-18,12,10,833.9,0
2018-11-19,14,10,1614.9,1
2018-11-20,17,13,1712,1
2018-11-21,14,10,1672.4,1
2018-11-22,14,9,1730.6,1
2018-11-23,16,11,1103.1,1
2018-11-24,18,11,924.7,0
2018-11-25,18,14,874.8,0
2018-11-26,19,13,1621,1
2018-11-27,18,12,1709.9,1
2018-11-28,16,11,1705.6,1
2018-11-29,18,12,1659.4,1
2018-11-30,18,13,1550.9,1
2018-12-1,20,15,852.3,0
2018-12-2,20,16,869.4,0
2018-12-3,20,15,1796.6,1
2018-12-4,15,11,1655.7,1
2018-12-5,13,10,1719.2,1
2018-12-6,10,6,1788.8,1
2018-12-7,6,3,2599.2,1
2018-12-8,3,2,1746.4,0
2018-12-9,5,6,1836.2,0
2018-12-10,10,8,3016.1,1
2018-12-11,8,3,2992.6,1
2018-12-12,7,3,3372.9,1
2018-12-13,6,3,3177.9,1
2018-12-14,10,6,2948.2,1
2018-12-15,10,7,1335.2,0
2018-12-16,9,3,1398.6,0
2018-12-17,12,3,2521.8,1
2018-12-18,14,6,2325.4,1
2018-12-19,14,11,2361.1,1
2018-12-20,13,10,2401.4,1
2018-12-21,15,12,2278.9,1
2018-12-22,13,7,1229.9,0
2018-12-23,12,6,1426.4,0
2018-12-24,11,8,2735.6,1
2018-12-25,13,10,2871,1
2018-12-26,10,6,2505.3,1
2018-12-27,7,1,2871.6,1
2018-12-28,2,0,2969.9,1
2018-12-29,3,0,2901.4,1
2018-12-30,3,1,1097.3,0
2018-12-31,5,3,1140.7,0
